"env_name" "count" "pexp"
"1" "Xot" 14430709 0.302081239574994
"2" "Oc" 11603250 0.242893411758116
"3" "Oow" 6614341 0.138459470581224
"4" "Nam" 6454667 0.13511697924224
"5" "Car" 3750098 0.0785016351149278
"6" "Oox" 1357572 0.0284183564766155
"7" "Hetatm" 1356957 0.0284054825448954
"8" "Oh" 1254879 0.0262686610780266
"9" "Nbas" 914397 0.0191412756797781
"10" "Meta" 25192 0.000527349736410958
"11" "Empty" 8892 0.000186138212772556
