"element_name" "count" "pexp"
"1" "C.3" 10177887 0.213055971207944
"2" "O.2" 9847281 0.20613532231322
"3" "O.3.wat" 9165005 0.191853087129053
"4" "N.am" 9135512 0.191235703603491
"5" "C.2" 2488874 0.0521001527413499
"6" "C.ar" 2030530 0.0425055358953058
"7" "O.3" 1254315 0.0262568547406443
"8" "O.co2" 1121686 0.0234805023990101
"9" "N.pl3" 659847 0.0138127239409956
"10" "empty" 609228 0.0127531051609311
"11" "N.3" 315623 0.00660700642486646
"12" "S.3" 307411 0.00643510280326409
"13" "N.ar" 249315 0.00521896631999436
"14" "H" 206815 0.00432930437185743
"15" "Ru.oh" 49564 0.00103753423052845
"16" "Se" 30095 0.000629985325392497
"17" "Zn" 18452 0.000386259818047594
"18" "N.4" 15532 0.00032513480890501
"19" "N.2" 14317 0.000299700943799448
"20" "Ca" 12127 0.000253857186942509
"21" "Cl" 11708 0.000245086166794994
"22" "Mg" 8733 0.000182809830425409
"23" "Na" 5174 0.000108308492227306
"24" "C.cat" 5124 0.000107261831111851
"25" "Du" 5029 0.000105273174992486
"26" "I" 4299 8.99919227068398e-05
"27" "Fe" 2957 6.18995383680217e-05
"28" "Mn" 2147 4.49436282976471e-05
"29" "Br" 2043 4.27665731775003e-05
"30" "C.1" 1860 3.89357934949342e-05
"31" "elt_symbol" 1808 3.78472659348608e-05
"32" "K" 1688 3.53352792577682e-05
"33" "Cd" 1566 3.27814261360575e-05
"34" "Ni" 1050 2.19798834245596e-05
"35" "Hg" 988 2.06820236413951e-05
"36" "Cu" 839 1.75629735173386e-05
"37" "F" 653 1.36693941678452e-05
"38" "N.1" 592 1.23924676069898e-05
"39" "Co.oh" 487 1.01944792645338e-05
"40" "Au" 383 8.01742414438698e-06
"41" "S.2" 341 7.1382288074046e-06
"42" "Pt" 286 5.98690158040386e-06
"43" "P.3" 219 4.58437568569386e-06
"44" "S.O" 150 3.13998334636566e-06
"45" "Cs" 140 2.93065112327462e-06
"46" "Xe" 137 2.8678514563473e-06
"47" "As" 111 2.32358767631059e-06
"48" "W" 104 2.17705512014686e-06
"49" "Ba" 98 2.05145578629223e-06
"50" "Gd" 93 1.94678967474671e-06
"51" "Mo" 92 1.9258564524376e-06
"52" "Pb" 81 1.69559100703746e-06
"53" "Sr" 67 1.40252589470999e-06
"54" "Sm" 51 1.06759433776432e-06
"55" "Os" 50 1.04666111545522e-06
"56" "Y" 44 9.21061781600593e-07
"57" "Tb" 42 8.79195336982385e-07
"58" "Yb" 41 8.5826211467328e-07
"59" "Pr" 36 7.53596003127758e-07
"60" "La" 23 4.81464113109401e-07
"61" "U" 23 4.81464113109401e-07
"62" "Dy" 22 4.60530890800297e-07
"63" "Ag" 17 3.55864779254775e-07
"64" "Ga" 17 3.55864779254775e-07
"65" "Ho" 15 3.13998334636566e-07
"66" "Ta" 13 2.72131890018357e-07
"67" "Li" 13 2.72131890018357e-07
"68" "Eu" 12 2.51198667709253e-07
"69" "Sb" 11 2.30265445400148e-07
"70" "Lu" 11 2.30265445400148e-07
"71" "V" 11 2.30265445400148e-07
"72" "Ir" 10 2.09332223091044e-07
"73" "Rb" 8 1.67465778472835e-07
"74" "Er" 6 1.25599333854626e-07
"75" "Te" 4 8.37328892364176e-08
"76" "B" 4 8.37328892364176e-08
"77" "Al" 3 6.27996669273132e-08
"78" "S.O2" 2 4.18664446182088e-08
"79" "Be" 2 4.18664446182088e-08
