"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "C.2" 6 0.00395256916996047 0.0193917207514843 0.203827665456555
"2" "C.3" 108 0.0711462450592885 0.118657186540591 0.599594909786188
"3" "C.ar" 35 0.0230566534914361 0.0370847733122516 0.621728311436622
"4" "C.cat" 1 0.000658761528326746 0.000722886966000302 0.911292580044209
"5" "Du" 328 0.216073781291173 8.881966225753e-05 2432.72464451253
"6" "N.2" 2 0.00131752305665349 0.000335119955946452 3.93149686634602
"7" "N.3" 49 0.0322793148880105 0.00799339280517613 4.03824954869077
"8" "N.am" 181 0.119235836627141 0.171222496414872 0.696379501080469
"9" "N.ar" 23 0.0151515151515152 0.00719066652928891 2.10710858163151
"10" "N.pl3" 65 0.0428194993412385 0.0184209007004549 2.32450627890204
"11" "O.2" 297 0.195652173913043 0.338724698694525 0.577614135216901
"12" "O.3" 97 0.0638998682476943 0.041770968191257 1.52976746804421
"13" "O.3.wat" 204 0.134387351778656 0.177342030891826 0.757786245611616
"14" "O.co2" 99 0.0652173913043478 0.0453443111058657 1.43827063889193
"15" "Ru.oh" 8 0.00527009222661397 0.0105950574066409 0.497410445677313
"16" "S.3" 15 0.00988142292490119 0.00456245860193623 2.16581097759609
