"element_name" "count" "pexp"
"1" "C.3" 10049673 0.210372039042804
"2" "O.2" 9380204 0.19635789563675
"3" "O.3.wat" 9272966 0.194113058742767
"4" "N.am" 9240144 0.193425988520137
"5" "C.2" 2600743 0.0544419313878471
"6" "C.ar" 2037092 0.0426428997000981
"7" "O.3" 1245755 0.0260776663576784
"8" "O.co2" 1114670 0.0233336349112894
"9" "empty" 893471 0.0187032270697378
"10" "N.pl3" 654714 0.013705273710883
"11" "N.3" 314967 0.00659327423103168
"12" "S.3" 313237 0.00655705975643693
"13" "N.ar" 247594 0.00518294024440039
"14" "H" 205227 0.00429606241483057
"15" "Ru.oh" 48832 0.00102221111179819
"16" "Se" 30198 0.000632141447290335
"17" "Zn" 18349 0.000384103696149757
"18" "N.4" 15176 0.000317682581762968
"19" "N.2" 14873 0.00031133981540331
"20" "Ca" 11860 0.000248268016585978
"21" "Cl" 11488 0.000240480857886991
"22" "Mg" 8958 0.000187519805444957
"23" "Na" 5253 0.000109962216789725
"24" "Du" 4833 0.000101170263419902
"25" "C.cat" 4462 9.34040379432238e-05
"26" "I" 4365 9.13735153792407e-05
"27" "Fe" 2942 6.15855400333851e-05
"28" "Mn" 2203 4.6115888746957e-05
"29" "Br" 2048 4.28712392890458e-05
"30" "C.1" 1843 3.85799287156794e-05
"31" "elt_symbol" 1740 3.64238068178417e-05
"32" "K" 1665 3.48538151446588e-05
"33" "Cd" 1615 3.38071540292036e-05
"34" "Ni" 1098 2.29846780953966e-05
"35" "Hg" 1078 2.25660136492145e-05
"36" "Cu" 992 2.07657565306316e-05
"37" "F" 634 1.32716629439722e-05
"38" "N.1" 615 1.28739317200992e-05
"39" "Co.oh" 543 1.13667397138437e-05
"40" "S.2" 370 7.74529225436863e-06
"41" "Au" 366 7.66155936513221e-06
"42" "Pt" 310 6.48929891582236e-06
"43" "P.3" 192 4.01917868334804e-06
"44" "Xe" 144 3.01438401251103e-06
"45" "S.O" 129 2.70038567787447e-06
"46" "Ba" 120 2.51198667709253e-06
"47" "Cs" 120 2.51198667709253e-06
"48" "As" 112 2.34452089861969e-06
"49" "Mo" 107 2.23985478707417e-06
"50" "W" 101 2.11425545321954e-06
"51" "Pb" 91 1.9049232301285e-06
"52" "Gd" 87 1.82119034089208e-06
"53" "Sr" 79 1.65372456241925e-06
"54" "Sm" 68 1.4234591170191e-06
"55" "Y" 50 1.04666111545522e-06
"56" "Os" 45 9.41995003909698e-07
"57" "Tb" 39 8.16395670055072e-07
"58" "Pr" 38 7.95462447745967e-07
"59" "U" 33 6.90796336200445e-07
"60" "Yb" 28 5.86130224654923e-07
"61" "La" 28 5.86130224654923e-07
"62" "Ag" 20 4.18664446182088e-07
"63" "Dy" 18 3.76798001563879e-07
"64" "Ho" 18 3.76798001563879e-07
"65" "Ta" 14 2.93065112327462e-07
"66" "Lu" 14 2.93065112327462e-07
"67" "Ga" 12 2.51198667709253e-07
"68" "Eu" 12 2.51198667709253e-07
"69" "Sb" 11 2.30265445400148e-07
"70" "Ir" 10 2.09332223091044e-07
"71" "Al" 9 1.8839900078194e-07
"72" "Rb" 9 1.8839900078194e-07
"73" "Li" 8 1.67465778472835e-07
"74" "Te" 7 1.46532556163731e-07
"75" "Er" 5 1.04666111545522e-07
"76" "B" 4 8.37328892364176e-08
"77" "V" 3 6.27996669273132e-08
"78" "Be" 2 4.18664446182088e-08
"79" "Kr" 1 2.09332223091044e-08
