"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "C.1" 12 0.000622891253568648 4.67648186385392e-05 13.3196550676948
"2" "C.2" 734 0.0381001816766156 0.0193917207514843 1.96476538440764
"3" "C.3" 2053 0.106566311964703 0.118657186540591 0.898102467044825
"4" "C.ar" 675 0.0350376330132364 0.0370847733122516 0.944798360184695
"5" "C.cat" 11 0.000570983649104594 0.000722886966000302 0.789865741062974
"6" "Co.oh" 1 5.1907604464054e-05 2.21892156476507e-05 2.3393167783986
"7" "Du" 5 0.00025953802232027 8.881966225753e-05 2.92207846465062
"8" "N.2" 36 0.00186867376070594 0.000335119955946452 5.57613394113878
"9" "N.3" 223 0.011575395795484 0.00799339280517613 1.44812047619984
"10" "N.4" 20 0.00103815208928108 0.000388646205390832 2.67120088883176
"11" "N.am" 1298 0.0673760705943421 0.171222496414872 0.393500106616188
"12" "N.ar" 251 0.0130288087204776 0.00719066652928891 1.81190556778135
"13" "N.pl3" 238 0.0123540098624448 0.0184209007004549 0.670651781003291
"14" "O.2" 6064 0.314767713470023 0.338724698694525 0.92927298978541
"15" "O.3" 1137 0.0590189462756294 0.041770968191257 1.41291784297168
"16" "O.3.wat" 4729 0.245471061510511 0.177342030891826 1.38416742086506
"17" "O.co2" 1315 0.068258499870231 0.0453443111058657 1.50533767534515
"18" "P.3" 1 5.1907604464054e-05 3.84333961595157e-05 1.35058593959832
"19" "Ru.oh" 306 0.0158837269660005 0.0105950574066409 1.49916384181597
"20" "S.3" 156 0.00809758629639242 0.00456245860193623 1.77482953882715
