"element_name" "count" "pexp"
"1" "O.2" 11286769 0.236268444628508
"2" "C.3" 10975521 0.229753021051244
"3" "N.am" 8401755 0.175875805201629
"4" "O.3.wat" 7888831 0.165138653081954
"5" "C.ar" 2311435 0.0483857827080447
"6" "C.2" 2235240 0.0467907758342025
"7" "O.3" 1328013 0.0277995913583807
"8" "O.co2" 1175890 0.0246151667810528
"9" "N.pl3" 773723 0.0161965155646672
"10" "N.3" 330234 0.00691286173602478
"11" "S.3" 291460 0.00610119697421157
"12" "N.ar" 283211 0.00592851882338377
"13" "H" 221803 0.00464305150782628
"14" "empty" 66296 0.00138778890620439
"15" "Ru.oh" 53392 0.0011176666055277
"16" "Se" 30170 0.00063155531706568
"17" "C.cat" 16672 0.000348998682337389
"18" "N.4" 16312 0.000341462722306111
"19" "N.2" 13543 0.000283498629732201
"20" "Zn" 11832 0.000247681886361323
"21" "Cl" 11684 0.000244583769459576
"22" "Ca" 9664 0.000202298660395185
"23" "Mg" 5825 0.000121936019950533
"24" "Du" 4411 9.23364436054595e-05
"25" "Na" 4161 8.71031380281834e-05
"26" "I" 4137 8.66007406927649e-05
"27" "C.1" 2430 5.08677302111237e-05
"28" "Fe" 2245 4.69950840839394e-05
"29" "elt_symbol" 2178 4.55925581892294e-05
"30" "Br" 2113 4.42318987391376e-05
"31" "K" 1389 2.9076245787346e-05
"32" "Mn" 1302 2.72550554464539e-05
"33" "Cd" 1015 2.1247220643741e-05
"34" "Ni" 751 1.57208499541374e-05
"35" "Hg" 698 1.46113891717549e-05
"36" "N.1" 694 1.45276562825185e-05
"37" "F" 679 1.42136579478819e-05
"38" "Cu" 575 1.2036602827735e-05
"39" "S.2" 402 8.41515536825997e-06
"40" "P.3" 388 8.12209025593251e-06
"41" "Co.oh" 354 7.41036069742296e-06
"42" "Au" 265 5.54730391191267e-06
"43" "Pt" 228 4.7727746864758e-06
"44" "S.O" 176 3.68424712640237e-06
"45" "Cs" 102 2.13518867552865e-06
"46" "Ba" 90 1.8839900078194e-06
"47" "Xe" 89 1.86305678551029e-06
"48" "Tb" 86 1.80025711858298e-06
"49" "Sr" 84 1.75839067396477e-06
"50" "As" 70 1.46532556163731e-06
"51" "W" 68 1.4234591170191e-06
"52" "Gd" 60 1.25599333854626e-06
"53" "Sm" 59 1.23506011623716e-06
"54" "Pb" 52 1.08852756007343e-06
"55" "Y" 39 8.16395670055072e-07
"56" "Pr" 29 6.07063446964028e-07
"57" "Yb" 29 6.07063446964028e-07
"58" "Mo" 28 5.86130224654923e-07
"59" "Os" 27 5.65197002345819e-07
"60" "Li" 19 3.97731223872984e-07
"61" "Eu" 17 3.55864779254775e-07
"62" "Ho" 16 3.3493155694567e-07
"63" "La" 14 2.93065112327462e-07
"64" "U" 13 2.72131890018357e-07
"65" "Ga" 13 2.72131890018357e-07
"66" "Ta" 12 2.51198667709253e-07
"67" "Lu" 12 2.51198667709253e-07
"68" "B" 10 2.09332223091044e-07
"69" "Dy" 10 2.09332223091044e-07
"70" "Ir" 9 1.8839900078194e-07
"71" "Ag" 7 1.46532556163731e-07
"72" "Al" 5 1.04666111545522e-07
"73" "Er" 4 8.37328892364176e-08
"74" "Sb" 4 8.37328892364176e-08
"75" "V" 3 6.27996669273132e-08
"76" "Be" 3 6.27996669273132e-08
"77" "Rb" 3 6.27996669273132e-08
"78" "Re" 2 4.18664446182088e-08
