"element_name" "count" "pexp"
"1" "O.2" 13007535 0.272289621848456
"2" "C.3" 9506360 0.198998747230378
"3" "O.3.wat" 8047491 0.168459918133517
"4" "N.am" 7481497 0.156611839905898
"5" "C.2" 2404122 0.0503260202842087
"6" "C.ar" 2225744 0.0465919939551553
"7" "O.3" 1514143 0.0316958920267743
"8" "O.co2" 1376728 0.0288193532831687
"9" "N.pl3" 831588 0.0174078164735835
"10" "N.3" 341536 0.00714944901456228
"11" "N.ar" 315278 0.00659978446316982
"12" "S.3" 259570 0.00543363651477423
"13" "H" 237301 0.00496747458717278
"14" "Ru.oh" 54686 0.00114475419519568
"15" "Se" 25703 0.00053804661301091
"16" "C.cat" 24552 0.000513952474133131
"17" "empty" 22963 0.000480689583883964
"18" "N.4" 16686 0.000349291747449716
"19" "N.2" 13815 0.000289192466200277
"20" "Cl" 11350 0.000237592073208335
"21" "Zn" 8424 0.000176341464731895
"22" "Ca" 7277 0.000152331058743353
"23" "Mg" 5243 0.000109752884566634
"24" "Du" 4213 8.81916655882568e-05
"25" "Na" 3962 8.29374267886716e-05
"26" "I" 3717 7.78087873229411e-05
"27" "C.1" 2359 4.93814714271773e-05
"28" "elt_symbol" 2323 4.86278754240495e-05
"29" "Fe" 2174 4.5508825299993e-05
"30" "Br" 2053 4.29759054005913e-05
"31" "Mn" 1604 3.35768885838035e-05
"32" "K" 1212 2.53710654386345e-05
"33" "Cd" 990 2.07238900860134e-05
"34" "F" 812 1.69977765149928e-05
"35" "Ni" 802 1.67884442919017e-05
"36" "Hg" 698 1.46113891717549e-05
"37" "N.1" 630 1.31879300547358e-05
"38" "P.3" 624 1.30623307208811e-05
"39" "Cu" 624 1.30623307208811e-05
"40" "S.2" 498 1.0424744709934e-05
"41" "Co.oh" 377 7.89182481053236e-06
"42" "Au" 271 5.67290324576729e-06
"43" "Pt" 176 3.68424712640237e-06
"44" "S.O" 149 3.11905012405656e-06
"45" "Cs" 104 2.17705512014686e-06
"46" "Ba" 98 2.05145578629223e-06
"47" "Xe" 77 1.61185811780104e-06
"48" "Sr" 75 1.56999167318283e-06
"49" "W" 70 1.46532556163731e-06
"50" "As" 68 1.4234591170191e-06
"51" "Tb" 63 1.31879300547358e-06
"52" "Sm" 62 1.29785978316447e-06
"53" "Gd" 62 1.29785978316447e-06
"54" "Pb" 56 1.17226044930985e-06
"55" "Y" 45 9.41995003909698e-07
"56" "Mo" 38 7.95462447745967e-07
"57" "Os" 29 6.07063446964028e-07
"58" "Yb" 28 5.86130224654923e-07
"59" "Eu" 23 4.81464113109401e-07
"60" "Pr" 23 4.81464113109401e-07
"61" "U" 21 4.39597668491192e-07
"62" "Ga" 16 3.3493155694567e-07
"63" "Li" 16 3.3493155694567e-07
"64" "La" 15 3.13998334636566e-07
"65" "Ho" 14 2.93065112327462e-07
"66" "Ta" 13 2.72131890018357e-07
"67" "Sb" 12 2.51198667709253e-07
"68" "Lu" 11 2.30265445400148e-07
"69" "Al" 9 1.8839900078194e-07
"70" "Ir" 9 1.8839900078194e-07
"71" "Ag" 8 1.67465778472835e-07
"72" "V" 6 1.25599333854626e-07
"73" "Dy" 5 1.04666111545522e-07
"74" "Rb" 4 8.37328892364176e-08
"75" "Be" 4 8.37328892364176e-08
"76" "Re" 4 8.37328892364176e-08
"77" "B" 4 8.37328892364176e-08
"78" "Er" 2 4.18664446182088e-08
