"env_name" "count" "pexp"
"1" "C.3" 18189118 0.380756850700532
"2" "C.2" 7906032 0.165498725438893
"3" "N.am" 6068135 0.127025618956657
"4" "O.2" 4712654 0.0986510338478901
"5" "C.ar" 3550710 0.0743278017851601
"6" "O.3.wat" 3088347 0.0646490543186556
"7" "O.co2" 937451 0.0196238701868922
"8" "O.3" 877616 0.018371330830027
"9" "N.pl3" 682126 0.0142790952008201
"10" "Ru.oh" 382761 0.00801242110425511
"11" "N.ar" 316115 0.00661730557024254
"12" "empty" 313440 0.00656130920056568
"13" "C.cat" 264380 0.00553432531408102
"14" "N.3" 230941 0.00483433929328688
"15" "S.3" 210147 0.00439905386859136
"16" "N.4" 12088 0.000253040791272454
"17" "N.2" 11356 0.00023771767254219
"18" "P.3" 8324 0.000174248142500985
"19" "C.1" 5000 0.000104666111545522
"20" "elt_symbol" 1673 3.50212809231317e-05
"21" "Du" 1461 3.05834377936015e-05
"22" "N.1" 553 1.15760719369347e-05
"23" "S.2" 357 7.47316036435027e-06
"24" "Co.oh" 162 3.39118201407491e-06
"25" "Cr.oh" 7 1.46532556163731e-07
