"env_name" "count" "pexp"
"1" "C.3" 12942388 0.270925885214685
"2" "O.2" 9321219 0.195123149518848
"3" "C.2" 6229193 0.130397081875317
"4" "N.am" 5935381 0.124246649962234
"5" "O.3.wat" 5152915 0.107867115234919
"6" "C.ar" 3341615 0.0699507696664379
"7" "O.3" 1202870 0.0251799451189524
"8" "O.co2" 1176633 0.0246307201652284
"9" "N.pl3" 805724 0.0168663996117808
"10" "Ru.oh" 423208 0.00885910714699145
"11" "N.ar" 350754 0.0073424114578076
"12" "C.cat" 291044 0.00609248875373098
"13" "N.3" 280244 0.00586640995279265
"14" "S.3" 256693 0.00537341163419094
"15" "empty" 17430 0.00036486606484769
"16" "N.4" 14611 0.000305855311158324
"17" "N.2" 13057 0.000273325083689976
"18" "P.3" 5422 0.000113499931359964
"19" "C.1" 4856 0.000101651727533011
"20" "Du" 2561 5.36099823336164e-05
"21" "elt_symbol" 1667 3.4895681589277e-05
"22" "N.1" 835 1.74792406281022e-05
"23" "S.2" 452 9.46181648371519e-06
"24" "Co.oh" 182 3.809846460257e-06
