"env_name" "count" "pexp"
"1" "C.3" 16438628 0.344113454380668
"2" "C.2" 8109020 0.169747918368974
"3" "O.2" 6229406 0.130401540651669
"4" "N.am" 5390968 0.112850331605268
"5" "O.3.wat" 3777014 0.0790650737265996
"6" "C.ar" 3537315 0.0740474012723296
"7" "O.co2" 992141 0.0207687081149771
"8" "O.3" 957086 0.0200348940069315
"9" "N.pl3" 739032 0.015470321149542
"10" "Ru.oh" 404111 0.00845934540055449
"11" "N.ar" 331212 0.00693333442744309
"12" "C.cat" 303455 0.00635229097580928
"13" "N.3" 244889 0.00512631587805427
"14" "S.3" 233591 0.00488981233240601
"15" "empty" 39846 0.000834105176128574
"16" "N.4" 12707 0.00026599845588179
"17" "N.2" 12039 0.000252015063379308
"18" "P.3" 8141 0.000170417362818419
"19" "C.1" 5504 0.000115216455589311
"20" "Du" 1870 3.91451257180252e-05
"21" "elt_symbol" 1672 3.50003477008226e-05
"22" "N.1" 728 1.5239385841028e-05
"23" "S.2" 419 8.77102014751474e-06
"24" "Co.oh" 160 3.3493155694567e-06
