"env_name" "count" "pexp"
"1" "O.2" 16181202 0.338724698694525
"2" "O.3.wat" 8471798 0.177342030891826
"3" "N.am" 8179462 0.171222496414872
"4" "C.3" 5668367 0.118657186540591
"5" "O.co2" 2166141 0.0453443111058657
"6" "O.3" 1995439 0.041770968191257
"7" "C.ar" 1771575 0.0370847733122516
"8" "C.2" 926361 0.0193917207514843
"9" "N.pl3" 879984 0.0184209007004549
"10" "Ru.oh" 506136 0.0105950574066409
"11" "N.3" 381852 0.00799339280517613
"12" "N.ar" 343505 0.00719066652928891
"13" "S.3" 217953 0.00456245860193623
"14" "C.cat" 34533 0.000722886966000302
"15" "N.4" 18566 0.000388646205390832
"16" "N.2" 16009 0.000335119955946452
"17" "Du" 4243 8.881966225753e-05
"18" "C.1" 2234 4.67648186385392e-05
"19" "P.3" 1836 3.84333961595157e-05
"20" "elt_symbol" 1574 3.29488919145303e-05
"21" "Co.oh" 1060 2.21892156476507e-05
"22" "N.1" 726 1.51975193964098e-05
"23" "S.2" 398 8.33142247902355e-06
