"element_name" "count" "pexp"
"1" "C.3" 9421204 0.197216157751424
"2" "N.am" 9164447 0.191841406391005
"3" "O.2" 9056579 0.189583381566966
"4" "O.3.wat" 8975909 0.187894698523291
"5" "C.2" 2710292 0.0567351449585872
"6" "empty" 2432444 0.0509188910064471
"7" "C.ar" 1929233 0.0403850632750604
"8" "O.3" 1180894 0.0247199166254875
"9" "O.co2" 1072893 0.0224591076828819
"10" "N.pl3" 615150 0.0128770717034456
"11" "S.3" 302506 0.00633242534783794
"12" "N.3" 290991 0.0060913792929486
"13" "N.ar" 232415 0.0048651948629705
"14" "H" 196910 0.00412196080488575
"15" "Ru.oh" 44929 0.000940508745125752
"16" "Se" 29753 0.000622826163362783
"17" "Zn" 17326 0.000362689009727543
"18" "N.4" 14363 0.000300663872025666
"19" "N.2" 14333 0.000300035875356393
"20" "Ca" 11017 0.000230621310179403
"21" "Cl" 10748 0.000224990273378254
"22" "Mg" 8437 0.000176613596621914
"23" "Na" 4992 0.000104498645767049
"24" "Du" 4746 9.93490730790095e-05
"25" "I" 4114 8.61192765796555e-05
"26" "C.cat" 3491 7.30778790810835e-05
"27" "Fe" 2985 6.24856685926766e-05
"28" "Mn" 2234 4.67648186385392e-05
"29" "Br" 1885 3.94591240526618e-05
"30" "Cd" 1623 3.39746198076764e-05
"31" "C.1" 1546 3.23627616898754e-05
"32" "elt_symbol" 1493 3.12533009074929e-05
"33" "K" 1450 3.03531723482014e-05
"34" "Ni" 1219 2.55175979947983e-05
"35" "Hg" 1074 2.24822807599781e-05
"36" "Cu" 1010 2.11425545321954e-05
"37" "F" 700 1.46532556163731e-05
"38" "N.1" 513 1.07387430445706e-05
"39" "Co.oh" 496 1.03828782653158e-05
"40" "Au" 435 9.10595170446041e-06
"41" "Pt" 321 6.71956436122251e-06
"42" "S.2" 288 6.02876802502207e-06
"43" "S.O" 142 2.97251756789282e-06
"44" "P.3" 134 2.80505178941999e-06
"45" "Cs" 122 2.55385312171074e-06
"46" "Xe" 120 2.51198667709253e-06
"47" "Ba" 113 2.3654541209288e-06
"48" "As" 86 1.80025711858298e-06
"49" "W" 85 1.77932389627387e-06
"50" "Pb" 78 1.63279134011014e-06
"51" "Gd" 77 1.61185811780104e-06
"52" "Sr" 77 1.61185811780104e-06
"53" "Mo" 71 1.48625878394641e-06
"54" "Y" 51 1.06759433776432e-06
"55" "Tb" 46 9.62928226218802e-07
"56" "Os" 41 8.5826211467328e-07
"57" "Sm" 36 7.53596003127758e-07
"58" "Pr" 34 7.1172955850955e-07
"59" "U" 27 5.65197002345819e-07
"60" "Yb" 25 5.2333055772761e-07
"61" "La" 22 4.60530890800297e-07
"62" "Ag" 19 3.97731223872984e-07
"63" "Dy" 18 3.76798001563879e-07
"64" "Ta" 17 3.55864779254775e-07
"65" "Sb" 16 3.3493155694567e-07
"66" "Ho" 15 3.13998334636566e-07
"67" "Eu" 14 2.93065112327462e-07
"68" "V" 14 2.93065112327462e-07
"69" "Lu" 11 2.30265445400148e-07
"70" "Er" 10 2.09332223091044e-07
"71" "Al" 9 1.8839900078194e-07
"72" "Ir" 8 1.67465778472835e-07
"73" "Ga" 7 1.46532556163731e-07
"74" "Rb" 7 1.46532556163731e-07
"75" "Li" 5 1.04666111545522e-07
"76" "Be" 4 8.37328892364176e-08
"77" "B" 3 6.27996669273132e-08
"78" "S.O2" 1 2.09332223091044e-08
"79" "Re" 1 2.09332223091044e-08
