"element_name" "count" "pexp"
"1" "C.3" 11496992 0.240669089421995
"2" "O.2" 10209624 0.213720328884368
"3" "N.am" 8930625 0.186946758484245
"4" "O.3.wat" 8287185 0.173477485921675
"5" "C.ar" 2303547 0.0482206614504705
"6" "C.2" 1910097 0.0399844851329534
"7" "O.3" 1298230 0.0271761371983486
"8" "O.co2" 1132531 0.0237075231949523
"9" "N.pl3" 735993 0.0154067050869447
"10" "N.3" 323162 0.0067648219878548
"11" "S.3" 311925 0.00652959536876739
"12" "N.ar" 269949 0.00565090242912042
"13" "H" 223965 0.00468830913445857
"14" "empty" 134020 0.00280547045386617
"15" "Ru.oh" 52190 0.00109250487231216
"16" "Se" 32424 0.000678738800150401
"17" "N.4" 15735 0.000329384253033758
"18" "Zn" 14597 0.000305562246045997
"19" "N.2" 13434 0.000281216908500508
"20" "Cl" 11697 0.000244855901349594
"21" "C.cat" 11137 0.000233133296856496
"22" "Ca" 11119 0.000232756498854932
"23" "Mg" 6586 0.000137866202127762
"24" "Na" 4783 0.000100123602304446
"25" "Du" 4629 9.68998860688443e-05
"26" "I" 4362 9.13107157123134e-05
"27" "Fe" 2686 5.62266351222544e-05
"28" "C.1" 2265 4.74137485301215e-05
"29" "Br" 2119 4.43574980729922e-05
"30" "elt_symbol" 2066 4.32480372906097e-05
"31" "K" 1752 3.66750054855509e-05
"32" "Mn" 1567 3.28023593583666e-05
"33" "Cd" 1231 2.57687966625075e-05
"34" "Ni" 870 1.82119034089208e-05
"35" "Hg" 785 1.6432579512647e-05
"36" "Cu" 694 1.45276562825185e-05
"37" "F" 663 1.38787263909362e-05
"38" "N.1" 662 1.38577931686271e-05
"39" "S.2" 406 8.49888825749639e-06
"40" "Co.oh" 394 8.24768958978713e-06
"41" "P.3" 365 7.6406261428231e-06
"42" "Au" 328 6.86609691738624e-06
"43" "Pt" 245 5.12863946573058e-06
"44" "S.O" 165 3.45398168100223e-06
"45" "Cs" 146 3.05625045712924e-06
"46" "Xe" 100 2.09332223091044e-06
"47" "Ba" 93 1.94678967474671e-06
"48" "W" 78 1.63279134011014e-06
"49" "As" 65 1.36065945009179e-06
"50" "Tb" 63 1.31879300547358e-06
"51" "Y" 59 1.23506011623716e-06
"52" "Gd" 58 1.21412689392806e-06
"53" "Sr" 56 1.17226044930985e-06
"54" "Sm" 50 1.04666111545522e-06
"55" "Pb" 48 1.00479467083701e-06
"56" "Mo" 46 9.62928226218802e-07
"57" "Yb" 32 6.69863113891341e-07
"58" "Pr" 31 6.48929891582236e-07
"59" "U" 29 6.07063446964028e-07
"60" "Os" 29 6.07063446964028e-07
"61" "Li" 21 4.39597668491192e-07
"62" "Ga" 19 3.97731223872984e-07
"63" "La" 17 3.55864779254775e-07
"64" "B" 12 2.51198667709253e-07
"65" "Ag" 12 2.51198667709253e-07
"66" "Eu" 12 2.51198667709253e-07
"67" "Ir" 11 2.30265445400148e-07
"68" "Dy" 10 2.09332223091044e-07
"69" "Lu" 10 2.09332223091044e-07
"70" "Ho" 9 1.8839900078194e-07
"71" "Rb" 8 1.67465778472835e-07
"72" "Be" 8 1.67465778472835e-07
"73" "Ta" 7 1.46532556163731e-07
"74" "Al" 4 8.37328892364176e-08
"75" "Er" 3 6.27996669273132e-08
"76" "Sb" 2 4.18664446182088e-08
"77" "V" 2 4.18664446182088e-08
"78" "Re" 1 2.09332223091044e-08
"79" "S.O2" 1 2.09332223091044e-08
"80" "Te" 1 2.09332223091044e-08
