"element_name" "count" "pobs" "pexp" "pobs_pexp"
"1" "C.2" 1 0.00242130750605327 0.0194162335548082 0.124705314201047
"2" "C.3" 1 0.00242130750605327 0.119064379580948 0.02033611995943
"3" "C.ar" 1 0.00242130750605327 0.0372843715869689 0.064941620389266
"4" "Ca" 1 0.00242130750605327 0.000349417346783571 6.92955724248294
"5" "H" 1 0.00242130750605327 0.00553145746262467 0.437734091315666
"6" "I" 1 0.00242130750605327 5.24377218843065e-05 46.1749179606888
"7" "Mn" 4 0.00968523002421308 8.75427356966746e-05 110.634308456744
"8" "N.3" 3 0.00726392251815981 0.00801983146495253 0.905745033409228
"9" "N.4" 2 0.00484261501210654 0.000391346591068707 12.3742358375529
"10" "N.am" 6 0.0145278450363196 0.171324085342738 0.0847974469395608
"11" "N.ar" 43 0.104116222760291 0.00723699175025895 14.3866714725169
"12" "N.pl3" 3 0.00726392251815981 0.0184749712136793 0.393176391678566
"13" "O.2" 26 0.062953995157385 0.33895655506482 0.185728802752748
"14" "O.3" 229 0.554479418886199 0.0419203057992101 13.2269888855784
"15" "O.3.wat" 88 0.213075060532688 0.177346866466179 1.20145940426482
"16" "O.co2" 2 0.00484261501210654 0.0454365428833596 0.106579741872925
"17" "S.3" 1 0.00242130750605327 0.00459452829851378 0.526998061332325
