"env_name" "count" "pexp"
"1" "C.3" 17861039 0.373889100058584
"2" "C.2" 7841011 0.164137626391133
"3" "N.am" 6025104 0.126124841467474
"4" "O.2" 5024580 0.10518065014988
"5" "C.ar" 3582972 0.0750031494032964
"6" "O.3.wat" 3266996 0.0683887535509548
"7" "O.co2" 954363 0.0199778928425838
"8" "O.3" 896672 0.0187702343143493
"9" "N.pl3" 699806 0.0146491945712451
"10" "Ru.oh" 390829 0.00818131034184496
"11" "N.ar" 318485 0.00666691730711511
"12" "C.cat" 278720 0.00583450772199358
"13" "N.3" 237438 0.00497034243862913
"14" "S.3" 218333 0.00457041322641369
"15" "empty" 132139 0.00276609506270275
"16" "N.4" 12107 0.000253438522496327
"17" "N.2" 11818 0.000247388821248996
"18" "P.3" 8564 0.00017927211585517
"19" "C.1" 5473 0.000114567525697728
"20" "elt_symbol" 1688 3.53352792577682e-05
"21" "Du" 1655 3.46444829215678e-05
"22" "N.1" 641 1.34181955001359e-05
"23" "S.2" 343 7.18009525202281e-06
"24" "Co.oh" 175 3.66331390409327e-06
"25" "Cr.oh" 3 6.27996669273132e-08
