"element_name" "count" "pexp"
"1" "C.3" 9822586 0.205618376388297
"2" "N.am" 9308824 0.194863682228326
"3" "O.3.wat" 9255463 0.19374666455269
"4" "O.2" 9154116 0.19162514527133
"5" "C.2" 2670116 0.0558941318190966
"6" "C.ar" 2010219 0.0420803612169855
"7" "empty" 1321917 0.0276719824351844
"8" "O.3" 1225735 0.0256585832470501
"9" "O.co2" 1098903 0.0230035807951418
"10" "N.pl3" 638673 0.0133694838918226
"11" "S.3" 310761 0.00650522909799959
"12" "N.3" 310474 0.00649922126319688
"13" "N.ar" 242105 0.00506803778714572
"14" "H" 201772 0.00422373813175261
"15" "Ru.oh" 48084 0.00100655306151098
"16" "Se" 30901 0.000646857502573635
"17" "Zn" 18362 0.000384375828039775
"18" "N.4" 15154 0.000317222050872168
"19" "N.2" 14966 0.000313286605078056
"20" "Ca" 11531 0.000241380986446283
"21" "Cl" 11316 0.000236880343649825
"22" "Mg" 8837 0.000184986885545556
"23" "Na" 5225 0.00010937608656507
"24" "Du" 4732 9.9056007966682e-05
"25" "I" 4336 9.07664519322767e-05
"26" "C.cat" 3971 8.31258257894536e-05
"27" "Fe" 3076 6.43905918228051e-05
"28" "Mn" 2218 4.64298870815936e-05
"29" "Br" 2005 4.19711107297543e-05
"30" "C.1" 1750 3.66331390409327e-05
"31" "Cd" 1639 3.43095513646221e-05
"32" "elt_symbol" 1591 3.33047566937851e-05
"33" "K" 1586 3.32000905822396e-05
"34" "Ni" 1199 2.50989335486162e-05
"35" "Cu" 1102 2.3068410984633e-05
"36" "Hg" 1083 2.26706797607601e-05
"37" "N.1" 668 1.39833925024817e-05
"38" "F" 651 1.3627527723227e-05
"39" "Co.oh" 487 1.01944792645338e-05
"40" "Au" 399 8.35235570133266e-06
"41" "S.2" 341 7.1382288074046e-06
"42" "Pt" 338 7.07542914047729e-06
"43" "P.3" 191 3.99824546103894e-06
"44" "Cs" 140 2.93065112327462e-06
"45" "S.O" 129 2.70038567787447e-06
"46" "Xe" 121 2.53291989940163e-06
"47" "Ba" 116 2.42825378785611e-06
"48" "W" 98 2.05145578629223e-06
"49" "As" 94 1.96772289705581e-06
"50" "Sr" 85 1.77932389627387e-06
"51" "Gd" 85 1.77932389627387e-06
"52" "Pb" 81 1.69559100703746e-06
"53" "Mo" 79 1.65372456241925e-06
"54" "Y" 71 1.48625878394641e-06
"55" "Sm" 48 1.00479467083701e-06
"56" "Yb" 47 9.83861448527907e-07
"57" "Tb" 45 9.41995003909698e-07
"58" "Pr" 44 9.21061781600593e-07
"59" "Os" 41 8.5826211467328e-07
"60" "La" 30 6.27996669273132e-07
"61" "U" 21 4.39597668491192e-07
"62" "Ta" 20 4.18664446182088e-07
"63" "Ag" 18 3.76798001563879e-07
"64" "Sb" 16 3.3493155694567e-07
"65" "Eu" 16 3.3493155694567e-07
"66" "Dy" 14 2.93065112327462e-07
"67" "Lu" 13 2.72131890018357e-07
"68" "Ga" 13 2.72131890018357e-07
"69" "Er" 12 2.51198667709253e-07
"70" "B" 11 2.30265445400148e-07
"71" "Li" 9 1.8839900078194e-07
"72" "Rb" 6 1.25599333854626e-07
"73" "V" 6 1.25599333854626e-07
"74" "Ir" 5 1.04666111545522e-07
"75" "Al" 4 8.37328892364176e-08
"76" "Be" 4 8.37328892364176e-08
"77" "Ho" 4 8.37328892364176e-08
"78" "S.O2" 4 8.37328892364176e-08
"79" "Te" 1 2.09332223091044e-08
