"env_name" "count" "pexp"
"1" "C.3" 17440706 0.365090175925731
"2" "C.2" 8002958 0.167527698944426
"3" "N.am" 5552405 0.116229728215183
"4" "O.2" 5506127 0.115260980553162
"5" "C.ar" 3579133 0.0749227867628518
"6" "O.3.wat" 3500019 0.0732666758130893
"7" "O.co2" 965390 0.0202087234849863
"8" "O.3" 919715 0.019252598556018
"9" "N.pl3" 718524 0.0150410226264269
"10" "Ru.oh" 398159 0.0083347508613707
"11" "N.ar" 323261 0.0067668943768634
"12" "C.cat" 291431 0.0061005899107646
"13" "N.3" 237714 0.00497612000798644
"14" "S.3" 227111 0.00475416505184301
"15" "empty" 65390 0.00136882340679234
"16" "N.4" 12267 0.000256787838065784
"17" "N.2" 11842 0.000247891218584414
"18" "P.3" 8525 0.000178455720185115
"19" "C.1" 5575 0.000116702714373257
"20" "Du" 1725 3.61098084832051e-05
"21" "elt_symbol" 1687 3.53143460354591e-05
"22" "N.1" 719 1.50509868402461e-05
"23" "S.2" 391 8.18488992285982e-06
"24" "Co.oh" 178 3.72611357102058e-06
"25" "Cr.oh" 2 4.18664446182088e-08
