"env_name" "count" "pexp"
"1" "C.3" 18419978 0.385589494402812
"2" "C.2" 7918362 0.165756832069965
"3" "N.am" 5865255 0.122778686814586
"4" "O.2" 4497201 0.0941409083017266
"5" "C.ar" 3528942 0.0738721274019355
"6" "O.3.wat" 2956097 0.0618806356682766
"7" "O.co2" 926261 0.0193896274292533
"8" "O.3" 864261 0.0180917676460889
"9" "empty" 716809 0.0150051221501668
"10" "N.pl3" 675278 0.0141357444944474
"11" "Ru.oh" 375190 0.00785393567815288
"12" "N.ar" 313671 0.00656614477491909
"13" "C.cat" 249830 0.00522974692948355
"14" "N.3" 219930 0.00460384358244133
"15" "S.3" 205683 0.00430560796420352
"16" "N.4" 11570 0.000242197382116338
"17" "N.2" 10655 0.000223043483703507
"18" "P.3" 7971 0.000166858715025871
"19" "C.1" 3932 8.23094301193985e-05
"20" "elt_symbol" 1691 3.53980789246955e-05
"21" "Du" 1418 2.968330923431e-05
"22" "N.1" 459 9.60834903987892e-06
"23" "S.2" 341 7.1382288074046e-06
"24" "Co.oh" 166 3.47491490331133e-06
"25" "Cr.oh" 3 6.27996669273132e-08
