"element_name" "count" "pexp"
"1" "C.3" 10899552 0.228162745085643
"2" "O.2" 10319698 0.21602453239682
"3" "N.am" 9054510 0.189540070730009
"4" "O.3.wat" 8582702 0.179663608978795
"5" "C.2" 2182358 0.0456837851720525
"6" "C.ar" 2100943 0.0439795068777567
"7" "O.3" 1274065 0.0266702858812491
"8" "O.co2" 1133693 0.0237318475992755
"9" "N.pl3" 687358 0.0143886178199414
"10" "N.3" 318524 0.00666773370278517
"11" "S.3" 301183 0.00630473069472299
"12" "N.ar" 255296 0.00534416792262512
"13" "empty" 242311 0.0050723500309414
"14" "H" 218062 0.00456474032316792
"15" "Ru.oh" 50950 0.00106654767664887
"16" "Se" 30614 0.000640849667770922
"17" "Zn" 16750 0.000350631473677499
"18" "N.4" 15588 0.000326307069354319
"19" "N.2" 13315 0.000278725855045725
"20" "Ca" 11737 0.000245693230241958
"21" "Cl" 11536 0.000241485652557828
"22" "C.cat" 8166 0.000170940693376147
"23" "Mg" 7448 0.00015591063975821
"24" "Na" 4943 0.000103472917873903
"25" "Du" 4725 9.89094754105183e-05
"26" "I" 4319 9.04105871530219e-05
"27" "Fe" 2631 5.50753078952537e-05
"28" "Br" 2068 4.32899037352279e-05
"29" "C.1" 2011 4.20967100636089e-05
"30" "elt_symbol" 1968 4.11965815043175e-05
"31" "Mn" 1895 3.96684562757528e-05
"32" "K" 1758 3.68006048194055e-05
"33" "Cd" 1313 2.74853208918541e-05
"34" "Ni" 890 1.86305678551029e-05
"35" "Cu" 794 1.66209785134289e-05
"36" "Hg" 743 1.55533841756646e-05
"37" "N.1" 623 1.3041397498572e-05
"38" "F" 620 1.29785978316447e-05
"39" "Co.oh" 489 1.02363457091521e-05
"40" "S.2" 395 8.26862281209624e-06
"41" "Au" 340 7.1172955850955e-06
"42" "P.3" 329 6.88703013969535e-06
"43" "Pt" 248 5.19143913265789e-06
"44" "S.O" 162 3.39118201407491e-06
"45" "Cs" 137 2.8678514563473e-06
"46" "Ba" 118 2.47012023247432e-06
"47" "Xe" 101 2.11425545321954e-06
"48" "W" 86 1.80025711858298e-06
"49" "As" 85 1.77932389627387e-06
"50" "Gd" 80 1.67465778472835e-06
"51" "Tb" 71 1.48625878394641e-06
"52" "Mo" 71 1.48625878394641e-06
"53" "Sm" 70 1.46532556163731e-06
"54" "Pb" 65 1.36065945009179e-06
"55" "Y" 62 1.29785978316447e-06
"56" "Sr" 61 1.27692656085537e-06
"57" "Os" 40 8.37328892364176e-07
"58" "Pr" 37 7.74529225436863e-07
"59" "Yb" 35 7.32662780818654e-07
"60" "U" 33 6.90796336200445e-07
"61" "Li" 22 4.60530890800297e-07
"62" "La" 17 3.55864779254775e-07
"63" "Ag" 14 2.93065112327462e-07
"64" "Ir" 12 2.51198667709253e-07
"65" "Ga" 12 2.51198667709253e-07
"66" "Ta" 12 2.51198667709253e-07
"67" "B" 11 2.30265445400148e-07
"68" "Lu" 10 2.09332223091044e-07
"69" "Sb" 9 1.8839900078194e-07
"70" "Dy" 9 1.8839900078194e-07
"71" "Ho" 8 1.67465778472835e-07
"72" "V" 8 1.67465778472835e-07
"73" "Eu" 8 1.67465778472835e-07
"74" "Be" 7 1.46532556163731e-07
"75" "Er" 6 1.25599333854626e-07
"76" "Rb" 5 1.04666111545522e-07
"77" "Al" 5 1.04666111545522e-07
"78" "Te" 2 4.18664446182088e-08
"79" "Re" 1 2.09332223091044e-08
"80" "S.O2" 1 2.09332223091044e-08
