"env_name" "count" "pexp"
"1" "O.2" 11741979 0.245797456755835
"2" "C.3" 10184690 0.213198379919312
"3" "O.3.wat" 6723582 0.140746236719493
"4" "N.am" 6112636 0.127957168282635
"5" "C.2" 4834867 0.101209345745953
"6" "C.ar" 2878933 0.0602653445020169
"7" "O.3" 1468738 0.0307454190678294
"8" "O.co2" 1363779 0.0285482889874881
"9" "N.pl3" 854028 0.0178775579821998
"10" "Ru.oh" 451152 0.00944406511119707
"11" "N.ar" 364179 0.00762343996730733
"12" "N.3" 322816 0.00675757909293585
"13" "S.3" 240928 0.0050433993844879
"14" "C.cat" 178052 0.00372720209858066
"15" "N.4" 16119 0.000337422610400454
"16" "N.2" 13242 0.00027719772981716
"17" "empty" 8892 0.000186138212772556
"18" "C.1" 3789 7.93159793291966e-05
"19" "Du" 3205 6.70909775006796e-05
"20" "P.3" 2125 4.44830974068468e-05
"21" "elt_symbol" 1637 3.42676849200039e-05
"22" "N.1" 812 1.69977765149928e-05
"23" "S.2" 477 9.9851470414428e-06
"24" "Co.oh" 297 6.21716702580401e-06
