"env_name" "count" "pexp"
"1" "C.3" 18446039 0.38613503510941
"2" "C.2" 7698629 0.161157112332318
"3" "N.am" 5750047 0.120367012138799
"4" "O.2" 4340093 0.0908521316111878
"5" "C.ar" 3512940 0.0735371539785452
"6" "O.3.wat" 2821340 0.0590597374295686
"7" "empty" 1398484 0.0292747764677256
"8" "O.co2" 918612 0.019229509211811
"9" "O.3" 859306 0.0179880435295473
"10" "N.pl3" 663771 0.0138948659053365
"11" "Ru.oh" 367266 0.00768806082457554
"12" "N.ar" 311407 0.00651875195961127
"13" "C.cat" 238495 0.00499246885460985
"14" "N.3" 207168 0.00433669379933254
"15" "S.3" 201942 0.00422729677954516
"16" "N.4" 11281 0.000236147680869007
"17" "N.2" 10003 0.000209395022757971
"18" "P.3" 7638 0.000159887951996939
"19" "C.1" 2677 5.60382361214725e-05
"20" "elt_symbol" 1683 3.52306131462227e-05
"21" "Du" 1387 2.90343793427278e-05
"22" "N.1" 339 7.09636236278639e-06
"23" "S.2" 239 5.00304013187595e-06
"24" "Co.oh" 163 3.41211523638402e-06
"25" "Cr.oh" 5 1.04666111545522e-07
