"element_name" "count" "pexp"
"1" "C.3" 10425476 0.218238806786232
"2" "O.2" 10248464 0.214533375238853
"3" "N.am" 9041689 0.189271685886784
"4" "O.3.wat" 8926418 0.186858692417991
"5" "C.2" 2357203 0.0493438544266878
"6" "C.ar" 2030208 0.0424987953977222
"7" "O.3" 1269383 0.0265722765343979
"8" "O.co2" 1130599 0.0236670802094511
"9" "N.pl3" 666306 0.0139479316238901
"10" "empty" 396642 0.00830299516312779
"11" "N.3" 315239 0.00659896806749976
"12" "S.3" 301810 0.0063178558251108
"13" "N.ar" 250574 0.00524532124688153
"14" "H" 211832 0.0044343263481822
"15" "Ru.oh" 49998 0.0010466192490106
"16" "Se" 29703 0.000621779502247328
"17" "Zn" 18068 0.000378221460680898
"18" "N.4" 15230 0.00031881297576766
"19" "N.2" 13628 0.000285277953628475
"20" "Ca" 11952 0.000250193873038416
"21" "Cl" 11504 0.000240815789443937
"22" "Mg" 8247 0.000172636284383184
"23" "C.cat" 5953 0.000124615472406098
"24" "Na" 4961 0.000103849715875467
"25" "Du" 4783 0.000100123602304446
"26" "I" 4314 9.03059210414764e-05
"27" "Fe" 2749 5.7545428127728e-05
"28" "Br" 2059 4.3101504734446e-05
"29" "Mn" 1962 4.10709821704628e-05
"30" "elt_symbol" 1918 4.01499203888622e-05
"31" "C.1" 1848 3.86845948272249e-05
"32" "K" 1674 3.50422141454408e-05
"33" "Cd" 1472 3.08137032390017e-05
"34" "Ni" 967 2.0242425972904e-05
"35" "Hg" 833 1.7437374183484e-05
"36" "Cu" 785 1.6432579512647e-05
"37" "F" 620 1.29785978316447e-05
"38" "N.1" 576 1.20575360500441e-05
"39" "Co.oh" 485 1.01526128199156e-05
"40" "Au" 367 7.68249258744131e-06
"41" "S.2" 362 7.57782647589579e-06
"42" "Pt" 299 6.25903347042221e-06
"43" "P.3" 268 5.61010357883998e-06
"44" "S.O" 146 3.05625045712924e-06
"45" "Cs" 139 2.90971790096551e-06
"46" "Ba" 133 2.78411856711088e-06
"47" "Xe" 112 2.34452089861969e-06
"48" "Mo" 98 2.05145578629223e-06
"49" "As" 93 1.94678967474671e-06
"50" "W" 92 1.9258564524376e-06
"51" "Gd" 83 1.73745745165567e-06
"52" "Sr" 77 1.61185811780104e-06
"53" "Tb" 63 1.31879300547358e-06
"54" "Pb" 60 1.25599333854626e-06
"55" "Sm" 59 1.23506011623716e-06
"56" "Y" 47 9.83861448527907e-07
"57" "Os" 44 9.21061781600593e-07
"58" "Yb" 37 7.74529225436863e-07
"59" "Pr" 30 6.27996669273132e-07
"60" "Ag" 24 5.02397335418506e-07
"61" "La" 24 5.02397335418506e-07
"62" "U" 20 4.18664446182088e-07
"63" "Eu" 17 3.55864779254775e-07
"64" "Ga" 15 3.13998334636566e-07
"65" "Ho" 15 3.13998334636566e-07
"66" "Dy" 13 2.72131890018357e-07
"67" "Sb" 12 2.51198667709253e-07
"68" "Ir" 11 2.30265445400148e-07
"69" "V" 11 2.30265445400148e-07
"70" "Ta" 10 2.09332223091044e-07
"71" "Li" 9 1.8839900078194e-07
"72" "Be" 6 1.25599333854626e-07
"73" "Er" 6 1.25599333854626e-07
"74" "Al" 6 1.25599333854626e-07
"75" "Lu" 5 1.04666111545522e-07
"76" "Rb" 5 1.04666111545522e-07
"77" "S.O2" 2 4.18664446182088e-08
"78" "B" 1 2.09332223091044e-08
"79" "Te" 1 2.09332223091044e-08
