"element_name" "count" "pexp"
"1" "O.2" 16192278 0.33895655506482
"2" "O.3.wat" 8472029 0.177346866466179
"3" "N.am" 8184315 0.171324085342738
"4" "C.3" 5687819 0.119064379580948
"5" "O.co2" 2170547 0.0454365428833596
"6" "O.3" 2002573 0.0419203057992101
"7" "C.ar" 1781110 0.0372843715869689
"8" "C.2" 927532 0.0194162335548082
"9" "N.pl3" 882567 0.0184749712136793
"10" "N.3" 383115 0.00801983146495253
"11" "N.ar" 345718 0.00723699175025895
"12" "H" 264243 0.00553145746262467
"13" "S.3" 219485 0.00459452829851378
"14" "Ru.oh" 55330 0.00115823519036275
"15" "C.cat" 34641 0.000725147754009686
"16" "Zn" 26866 0.000562391950556399
"17" "N.4" 18695 0.000391346591068707
"18" "Ca" 16692 0.000349417346783571
"19" "N.2" 16238 0.000339913663855237
"20" "Se" 15991 0.000334743157944888
"21" "Mg" 13797 0.000288815668198713
"22" "Cl" 9573 0.000200393737165056
"23" "Fe" 9045 0.000189340995785849
"24" "Na" 6147 0.000128676517534065
"25" "Du" 4245 8.88615287021482e-05
"26" "Mn" 4182 8.75427356966746e-05
"27" "elt_symbol" 2638 5.52218404514174e-05
"28" "I" 2505 5.24377218843065e-05
"29" "Ni" 2455 5.13910607688513e-05
"30" "Cd" 2352 4.92349388710135e-05
"31" "C.1" 2256 4.72253495293395e-05
"32" "P.3" 1989 4.16361791728086e-05
"33" "Cu" 1810 3.7889132379479e-05
"34" "Br" 1639 3.43095513646221e-05
"35" "F" 1324 2.77155863372542e-05
"36" "K" 1290 2.70038567787447e-05
"37" "Co.oh" 1093 2.28800119838511e-05
"38" "Hg" 933 1.95306964143944e-05
"39" "N.1" 729 1.52603190633371e-05
"40" "S.2" 425 8.89661948136937e-06
"41" "Pt" 339 7.09636236278639e-06
"42" "Au" 287 6.00783480271296e-06
"43" "Mo" 223 4.66810857493028e-06
"44" "Gd" 166 3.47491490331133e-06
"45" "S.O" 160 3.3493155694567e-06
"46" "Y" 151 3.16091656867476e-06
"47" "Tb" 106 2.21892156476507e-06
"48" "W" 99 2.07238900860134e-06
"49" "Ba" 97 2.03052256398313e-06
"50" "Sm" 93 1.94678967474671e-06
"51" "As" 86 1.80025711858298e-06
"52" "Cs" 82 1.71652422934656e-06
"53" "Pr" 77 1.61185811780104e-06
"54" "Eu" 75 1.56999167318283e-06
"55" "Sr" 67 1.40252589470999e-06
"56" "Yb" 66 1.38159267240089e-06
"57" "Pb" 66 1.38159267240089e-06
"58" "Al" 57 1.19319367161895e-06
"59" "Xe" 41 8.5826211467328e-07
"60" "B" 37 7.74529225436863e-07
"61" "Ga" 36 7.53596003127758e-07
"62" "Li" 32 6.69863113891341e-07
"63" "Lu" 31 6.48929891582236e-07
"64" "Os" 29 6.07063446964028e-07
"65" "Ag" 28 5.86130224654923e-07
"66" "U" 24 5.02397335418506e-07
"67" "Be" 24 5.02397335418506e-07
"68" "Ir" 23 4.81464113109401e-07
"69" "La" 21 4.39597668491192e-07
"70" "Ta" 21 4.39597668491192e-07
"71" "V" 21 4.39597668491192e-07
"72" "Ho" 16 3.3493155694567e-07
"73" "Dy" 15 3.13998334636566e-07
"74" "Sb" 14 2.93065112327462e-07
"75" "Te" 13 2.72131890018357e-07
"76" "Re" 8 1.67465778472835e-07
"77" "S.O2" 6 1.25599333854626e-07
"78" "Er" 6 1.25599333854626e-07
