"env_name" "count" "pexp"
"1" "C.3" 14901178 0.311929671741536
"2" "O.2" 8234375 0.172372002451532
"3" "C.2" 6734778 0.140980605076466
"4" "N.am" 5643978 0.118146646181694
"5" "O.3.wat" 4265677 0.0892943649398335
"6" "C.ar" 3481305 0.0728749314907967
"7" "O.3" 1054553 0.022075192385733
"8" "O.co2" 1050421 0.0219886963111518
"9" "N.pl3" 776678 0.0162583732365906
"10" "Ru.oh" 409477 0.00857167307146514
"11" "N.ar" 339278 0.00710218179858832
"12" "C.cat" 308030 0.00644806046787343
"13" "N.3" 257652 0.00539348659438537
"14" "S.3" 243248 0.00509196446024503
"15" "empty" 26665 0.000558184372872269
"16" "N.4" 13412 0.000280756377609708
"17" "N.2" 12683 0.000265496058546371
"18" "P.3" 7102 0.000148667744839259
"19" "C.1" 5231 0.000109501685898925
"20" "Du" 2157 4.51529605207382e-05
"21" "elt_symbol" 1678 3.51259470346772e-05
"22" "N.1" 835 1.74792406281022e-05
"23" "S.2" 387 8.1011570336234e-06
"24" "Co.oh" 175 3.66331390409327e-06
"25" "Cr.oh" 1 2.09332223091044e-08
