"x" "y" "position"
"1" -1.40127397264936 3.72415271904749e-06 "7^th"
"2" -1.37824704268697 6.07311552051834e-06 "7^th"
"3" -1.35522011272458 9.61363760188832e-06 "7^th"
"4" -1.33219318276219 1.4782902302155e-05 "7^th"
"5" -1.30916625279981 2.22139082464624e-05 "7^th"
"6" -1.28613932283742 3.26030230194838e-05 "7^th"
"7" -1.26311239287503 4.63636346737249e-05 "7^th"
"8" -1.24008546291264 6.39154840825843e-05 "7^th"
"9" -1.21705853295025 8.54603995890987e-05 "7^th"
"10" -1.19403160298787 0.000110883338571609 "7^th"
"11" -1.17100467302548 0.000139670538883394 "7^th"
"12" -1.14797774306309 0.000170863083215464 "7^th"
"13" -1.1249508131007 0.00020306209312747 "7^th"
"14" -1.10192388313831 0.000234496355173646 "7^th"
"15" -1.07889695317592 0.000263154828774392 "7^th"
"16" -1.05587002321354 0.000286975970177591 "7^th"
"17" -1.03284309325115 0.000303720425497539 "7^th"
"18" -1.00981616328876 0.000311689531213368 "7^th"
"19" -0.986789233326372 0.000310682040463357 "7^th"
"20" -0.963762303363984 0.000300852653651322 "7^th"
"21" -0.940735373401596 0.000283066848645127 "7^th"
"22" -0.917708443439208 0.000258778339255623 "7^th"
"23" -0.89468151347682 0.000229841880014068 "7^th"
"24" -0.871654583514432 0.000198292449430783 "7^th"
"25" -0.848627653552044 0.00016612397315786 "7^th"
"26" -0.825600723589655 0.000135097657224332 "7^th"
"27" -0.802573793627267 0.000106602653639344 "7^th"
"28" -0.779546863664879 8.15815203951025e-05 "7^th"
"29" -0.756519933702491 6.0693331862116e-05 "7^th"
"30" -0.733493003740103 4.40270434208152e-05 "7^th"
"31" -0.710466073777715 3.10432415387054e-05 "7^th"
"32" -0.687439143815327 2.12658068213645e-05 "7^th"
"33" -0.664412213852938 1.41458266123952e-05 "7^th"
"34" -0.64138528389055 9.131656869451e-06 "7^th"
"35" -0.618358353928162 5.71714745764554e-06 "7^th"
"36" -0.595331423965774 3.46938572140797e-06 "7^th"
"37" -0.572304494003386 2.03945169842073e-06 "7^th"
"38" -0.549277564040998 1.16070477549173e-06 "7^th"
"39" -0.52625063407861 6.3923002398149e-07 "7^th"
"40" -0.503223704116222 3.40503083812012e-07 "7^th"
"41" -0.480196774153833 1.78494774140749e-07 "7^th"
"42" -0.457169844191445 9.27658154555848e-08 "7^th"
"43" -0.434142914229057 4.67075087192454e-08 "7^th"
"44" -0.411115984266669 2.27629070603877e-08 "7^th"
"45" -0.388089054304281 1.07293682612358e-08 "7^th"
"46" -0.365062124341893 4.88814673906416e-09 "7^th"
"47" -0.342035194379505 2.15132907539087e-09 "7^th"
"48" -0.319008264417116 9.14272594389049e-10 "7^th"
"49" -0.295981334454728 3.75062120727319e-10 "7^th"
"50" -0.27295440449234 1.48482213873701e-10 "7^th"
"51" -0.249927474529952 5.67154683287611e-11 "7^th"
"52" -0.226900544567564 2.08986759474917e-11 "7^th"
"53" -0.203873614605176 7.77173964423277e-12 "7^th"
"54" -0.180846684642788 2.93968761253978e-12 "7^th"
"55" -0.157819754680399 1.06574967081861e-12 "7^th"
"56" -0.134792824718011 3.70600094308903e-13 "7^th"
"57" -0.111765894755623 1.2369763712217e-13 "7^th"
"58" -0.0887389647932351 3.96640519214381e-14 "7^th"
"59" -0.0657120348308469 1.2238542149889e-14 "7^th"
"60" -0.0426851048684589 3.63892730500267e-15 "7^th"
"61" -0.0196581749060707 1.03854139921031e-15 "7^th"
"62" 0.00336875505631751 2.9453885639173e-16 "7^th"
"63" 0.0263956850187057 8.32859998423735e-17 "7^th"
"64" 0.0494226149810937 4.63091393710749e-17 "7^th"
"65" 0.0724495449434819 1.78581313564049e-18 "7^th"
"66" 0.0954764749058701 0 "7^th"
"67" 0.118503404868258 0 "7^th"
"68" 0.141530334830646 0 "7^th"
"69" 0.164557264793034 0 "7^th"
"70" 0.187584194755423 1.89584205229492e-18 "7^th"
"71" 0.210611124717811 5.87939598483349e-18 "7^th"
"72" 0.233638054680199 6.03877073012746e-18 "7^th"
"73" 0.256664984642587 1.22061649539181e-18 "7^th"
"74" 0.279691914604975 7.39004597461663e-19 "7^th"
"75" 0.302718844567363 4.36903741946034e-18 "7^th"
"76" 0.325745774529751 1.04886337908834e-17 "7^th"
"77" 0.34877270449214 1.2078752585006e-17 "7^th"
"78" 0.371799634454528 4.51402909538251e-18 "7^th"
"79" 0.394826564416916 2.08824458651674e-18 "7^th"
"80" 0.417853494379304 1.65738956789696e-17 "7^th"
"81" 0.440880424341692 1.38154611738698e-17 "7^th"
"82" 0.46390735430408 3.93667578051195e-18 "7^th"
"83" 0.486934284266468 0 "7^th"
"84" 0.509961214228857 0 "7^th"
"85" 0.532988144191245 0 "7^th"
"86" 0.556015074153633 0 "7^th"
"87" 0.579042004116021 0 "7^th"
"88" 0.602068934078409 0 "7^th"
"89" 0.625095864040797 0 "7^th"
"90" 0.648122794003185 0 "7^th"
"91" 0.671149723965573 0 "7^th"
"92" 0.694176653927961 0 "7^th"
"93" 0.71720358389035 1.09146029545554e-18 "7^th"
"94" 0.740230513852738 7.87867862375418e-19 "7^th"
"95" 0.763257443815126 0 "7^th"
"96" 0.786284373777514 6.57646249893092e-19 "7^th"
"97" 0.809311303739902 7.12165994038538e-18 "7^th"
"98" 0.83233823370229 1.57122957826085e-17 "7^th"
"99" 0.855365163664678 0 "7^th"
"100" 0.878392093627067 0 "7^th"
"101" 0.901419023589455 0 "7^th"
