"x" "y" "position"
"1" -1.59567442208251 2.35768871984379e-06 "7^th"
"2" -1.57181947064157 3.33929843053496e-06 "7^th"
"3" -1.54796451920064 4.65541966762564e-06 "7^th"
"4" -1.52410956775971 6.39125719688415e-06 "7^th"
"5" -1.50025461631877 8.64883003546775e-06 "7^th"
"6" -1.47639966487784 1.16474664668576e-05 "7^th"
"7" -1.45254471343691 1.54341846908053e-05 "7^th"
"8" -1.42868976199597 2.01306742628505e-05 "7^th"
"9" -1.40483481055504 2.58525789584387e-05 "7^th"
"10" -1.3809798591141 3.27016720588096e-05 "7^th"
"11" -1.35712490767317 4.07571201546913e-05 "7^th"
"12" -1.33326995623224 5.00661666055217e-05 "7^th"
"13" -1.3094150047913 6.06346201835484e-05 "7^th"
"14" -1.28556005335037 7.2476744480242e-05 "7^th"
"15" -1.26170510190943 8.5479947573988e-05 "7^th"
"16" -1.2378501504685 9.93180837380524e-05 "7^th"
"17" -1.21399519902757 0.000113712437940908 "7^th"
"18" -1.19014024758663 0.000128324218900595 "7^th"
"19" -1.1662852961457 0.00014276457987032 "7^th"
"20" -1.14243034470476 0.000156608355833109 "7^th"
"21" -1.11857539326383 0.000169411087267927 "7^th"
"22" -1.0947204418229 0.000180728771714334 "7^th"
"23" -1.07086549038196 0.000189892882978236 "7^th"
"24" -1.04701053894103 0.000196590897793706 "7^th"
"25" -1.0231555875001 0.000200662909087818 "7^th"
"26" -0.999300636059161 0.000201958625635032 "7^th"
"27" -0.975445684618227 0.000200432949157154 "7^th"
"28" -0.951590733177293 0.000196147773157642 "7^th"
"29" -0.92773578173636 0.000189268288209338 "7^th"
"30" -0.903880830295426 0.00018005402322305 "7^th"
"31" -0.880025878854492 0.000168839593325109 "7^th"
"32" -0.856170927413558 0.00015589197026703 "7^th"
"33" -0.832315975972624 0.000141952820688277 "7^th"
"34" -0.80846102453169 0.000127467800375971 "7^th"
"35" -0.784606073090756 0.00011285866954355 "7^th"
"36" -0.760751121649822 9.85072014790696e-05 "7^th"
"37" -0.736896170208888 8.47427081651431e-05 "7^th"
"38" -0.713041218767954 7.18333896394688e-05 "7^th"
"39" -0.68918626732702 5.99815864155237e-05 "7^th"
"40" -0.665331315886087 4.93890978851487e-05 "7^th"
"41" -0.641476364445153 4.01824673188653e-05 "7^th"
"42" -0.617621413004219 3.22305369511487e-05 "7^th"
"43" -0.593766461563285 2.54792269514592e-05 "7^th"
"44" -0.569911510122351 1.98447083862183e-05 "7^th"
"45" -0.546056558681417 1.52226221394014e-05 "7^th"
"46" -0.522201607240483 1.14965056277681e-05 "7^th"
"47" -0.498346655799549 8.54519259287172e-06 "7^th"
"48" -0.474491704358615 6.24900731785018e-06 "7^th"
"49" -0.450636752917681 4.53652392782583e-06 "7^th"
"50" -0.426781801476747 3.25764732412572e-06 "7^th"
"51" -0.402926850035814 2.30333439299369e-06 "7^th"
"52" -0.37907189859488 1.60282639028065e-06 "7^th"
"53" -0.355216947153946 1.09726012735244e-06 "7^th"
"54" -0.331361995713012 7.38683139344116e-07 "7^th"
"55" -0.307507044272078 4.88855027484959e-07 "7^th"
"56" -0.283652092831144 3.17935818763408e-07 "7^th"
"57" -0.25979714139021 2.03160886721302e-07 "7^th"
"58" -0.235942189949276 1.3111589164974e-07 "7^th"
"59" -0.212087238508342 8.31664005210514e-08 "7^th"
"60" -0.188232287067408 5.18241318539766e-08 "7^th"
"61" -0.164377335626475 3.17140610755904e-08 "7^th"
"62" -0.140522384185541 1.90536581648411e-08 "7^th"
"63" -0.116667432744607 1.12358566259823e-08 "7^th"
"64" -0.0928124813036728 6.50205103497516e-09 "7^th"
"65" -0.068957529862739 3.69184477385723e-09 "7^th"
"66" -0.0451025784218051 2.08820520199462e-09 "7^th"
"67" -0.0212476269808712 1.1942696757105e-09 "7^th"
"68" 0.00260732446006284 6.68916127446757e-10 "7^th"
"69" 0.0264622759009967 3.66928876405766e-10 "7^th"
"70" 0.0503172273419306 1.97127860194201e-10 "7^th"
"71" 0.0741721787828644 1.03727645022512e-10 "7^th"
"72" 0.0980271302237983 5.346286170816e-11 "7^th"
"73" 0.121882081664732 2.6993299770562e-11 "7^th"
"74" 0.145737033105666 1.33519189868964e-11 "7^th"
"75" 0.1695919845466 6.77238971138022e-12 "7^th"
"76" 0.193446935987534 3.43082332509828e-12 "7^th"
"77" 0.217301887428468 1.69440040481827e-12 "7^th"
"78" 0.241156838869402 8.16556877199962e-13 "7^th"
"79" 0.265011790310336 3.84255201151015e-13 "7^th"
"80" 0.28886674175127 1.76669875092189e-13 "7^th"
"81" 0.312721693192203 7.94033965436924e-14 "7^th"
"82" 0.336576644633137 3.48997366507411e-14 "7^th"
"83" 0.360431596074071 1.50189897332989e-14 "7^th"
"84" 0.384286547515005 6.94322847080831e-15 "7^th"
"85" 0.408141498955939 3.10057541772074e-15 "7^th"
"86" 0.431996450396873 1.33751859450915e-15 "7^th"
"87" 0.455851401837807 5.72141096494038e-16 "7^th"
"88" 0.479706353278741 2.419737541172e-16 "7^th"
"89" 0.503561304719675 9.29405846450705e-17 "7^th"
"90" 0.527416256160609 3.90046277391988e-17 "7^th"
"91" 0.551271207601542 1.36001943493515e-17 "7^th"
"92" 0.575126159042477 1.05307297874014e-17 "7^th"
"93" 0.59898111048341 1.92495677470893e-17 "7^th"
"94" 0.622836061924344 5.53412226928566e-18 "7^th"
"95" 0.646691013365278 0 "7^th"
"96" 0.670545964806212 0 "7^th"
"97" 0.694400916247146 0 "7^th"
"98" 0.71825586768808 0 "7^th"
"99" 0.742110819129014 0 "7^th"
"100" 0.765965770569948 0 "7^th"
"101" 0.789820722010881 0 "7^th"
"102" 0.813675673451816 0 "7^th"
"103" 0.837530624892749 0 "7^th"
"104" 0.861385576333683 0 "7^th"
"105" 0.885240527774617 2.42510085348147e-18 "7^th"
"106" 0.909095479215551 3.37904315945428e-18 "7^th"
"107" 0.932950430656485 0 "7^th"
"108" 0.956805382097419 6.25180098465572e-19 "7^th"
"109" 0.980660333538353 5.20417042793042e-18 "7^th"
"110" 1.00451528497929 5.20417042793042e-18 "7^th"
"111" 1.02837023642022 1.7292459742071e-17 "7^th"
"112" 1.05222518786115 7.09885696622182e-18 "7^th"
"113" 1.07608013930209 0 "7^th"
"114" 1.09993509074302 2.97267868848589e-18 "7^th"
"115" 1.12379004218396 4.76617999542836e-18 "7^th"
"116" 1.14764499362489 0 "7^th"
"117" 1.17149994506582 1.1455686969297e-18 "7^th"
"118" 1.19535489650676 1.342342694473e-17 "7^th"
"119" 1.21920984794769 2.86571595387094e-17 "7^th"
"120" 1.24306479938863 2.61132386552315e-17 "7^th"
"121" 1.26691975082956 2.21302190975033e-17 "7^th"
"122" 1.29077470227049 2.08166817117217e-17 "7^th"
"123" 1.31462965371143 2.62404608563813e-17 "7^th"
"124" 1.33848460515236 3.08706199348905e-17 "7^th"
"125" 1.3623395565933 2.41525617486693e-17 "7^th"
"126" 1.38619450803423 4.1009372958826e-17 "7^th"
"127" 1.41004945947516 2.87315147110254e-17 "7^th"
"128" 1.4339044109161 3.76447548739823e-17 "7^th"
"129" 1.45775936235703 4.83878808408078e-17 "7^th"
"130" 1.48161431379796 2.67227666781295e-17 "7^th"
"131" 1.5054692652389 5.4225521437032e-18 "7^th"
"132" 1.52932421667983 1.09263501866289e-17 "7^th"
"133" 1.55317916812077 2.11510329109618e-17 "7^th"
"134" 1.5770341195617 2.12792724039938e-19 "7^th"
"135" 1.60088907100263 1.8243341792442e-18 "7^th"
"136" 1.62474402244357 1.25674601460693e-17 "7^th"
"137" 1.6485989738845 1.11827025777915e-17 "7^th"
"138" 1.67245392532544 8.11323801584141e-18 "7^th"
"139" 1.69630887676637 9.78157457893109e-18 "7^th"
"140" 1.7201638282073 2.0366323661906e-17 "7^th"
"141" 1.74401877964824 3.45104895776093e-17 "7^th"
"142" 1.76787373108917 3.81574970234165e-17 "7^th"
"143" 1.79172868253011 2.31053651036681e-17 "7^th"
"144" 1.81558363397104 1.08275068558673e-17 "7^th"
"145" 1.83943858541197 1.48553504487836e-17 "7^th"
"146" 1.86329353685291 1.43301659478188e-17 "7^th"
"147" 1.88714848829384 2.47013292175219e-17 "7^th"
"148" 1.91100343973477 1.53424895401415e-17 "7^th"
"149" 1.93485839117571 0 "7^th"
"150" 1.95871334261664 0 "7^th"
"151" 1.98256829405758 1.9767255267458e-18 "7^th"
"152" 2.00642324549851 1.38734258170381e-17 "7^th"
"153" 2.03027819693944 4.61028037175145e-17 "7^th"
"154" 2.05413314838038 1.20846359176047e-16 "7^th"
"155" 2.07798809982131 3.13529622857521e-16 "7^th"
"156" 2.10184305126225 7.49668744604562e-16 "7^th"
"157" 2.12569800270318 1.80032425218036e-15 "7^th"
"158" 2.14955295414411 4.20918888677566e-15 "7^th"
"159" 2.17340790558505 9.55098914041285e-15 "7^th"
"160" 2.19726285702598 2.1095957759691e-14 "7^th"
"161" 2.22111780846692 4.50708000875514e-14 "7^th"
"162" 2.24497275990785 1.02423745427589e-13 "7^th"
"163" 2.26882771134878 2.29741039806979e-13 "7^th"
"164" 2.29268266278972 5.04197920442925e-13 "7^th"
"165" 2.31653761423065 1.08224462049123e-12 "7^th"
"166" 2.34039256567159 2.27099664950525e-12 "7^th"
"167" 2.36424751711252 4.65644329799852e-12 "7^th"
"168" 2.38810246855345 9.32318763252078e-12 "7^th"
"169" 2.41195741999439 1.8214238468367e-11 "7^th"
"170" 2.43581237143532 3.52726826422428e-11 "7^th"
"171" 2.45966732287625 7.04248081417807e-11 "7^th"
"172" 2.48352227431719 1.37815390158657e-10 "7^th"
"173" 2.50737722575812 2.64322232789044e-10 "7^th"
"174" 2.53123217719906 4.96839251268399e-10 "7^th"
"175" 2.55508712863999 9.15232429590413e-10 "7^th"
"176" 2.57894208008092 1.65224323385734e-09 "7^th"
"177" 2.60279703152186 2.92311988196728e-09 "7^th"
"178" 2.62665198296279 5.06832811956929e-09 "7^th"
"179" 2.65050693440373 8.837416445869e-09 "7^th"
"180" 2.67436188584466 1.54234077778197e-08 "7^th"
"181" 2.69821683728559 2.64288600741579e-08 "7^th"
"182" 2.72207178872653 4.44739013331576e-08 "7^th"
"183" 2.74592674016746 7.35128014442075e-08 "7^th"
"184" 2.7697816916084 1.19391269805466e-07 "7^th"
"185" 2.79363664304933 1.90579227338797e-07 "7^th"
"186" 2.81749159449026 2.99113381497573e-07 "7^th"
"187" 2.8413465459312 4.61786165553382e-07 "7^th"
"188" 2.86520149737213 7.18400306372697e-07 "7^th"
"189" 2.88905644881307 1.10259304365317e-06 "7^th"
"190" 2.912911400254 1.66528082532572e-06 "7^th"
"191" 2.93676635169493 2.47607602265944e-06 "7^th"
"192" 2.96062130313587 3.6261236168671e-06 "7^th"
"193" 2.9844762545768 5.2328395291782e-06 "7^th"
"194" 3.00833120601773 7.44520922031056e-06 "7^th"
"195" 3.03218615745867 1.04496442664506e-05 "7^th"
"196" 3.0560411088996 1.45215904341072e-05 "7^th"
"197" 3.07989606034054 2.01394940248969e-05 "7^th"
"198" 3.10375101178147 2.7567800840619e-05 "7^th"
"199" 3.1276059632224 3.72692206656911e-05 "7^th"
"200" 3.15146091466334 4.9794352093559e-05 "7^th"
"201" 3.17531586610427 6.57940205595058e-05 "7^th"
"202" 3.19917081754521 8.60336545984021e-05 "7^th"
"203" 3.22302576898614 0.000111410184967401 "7^th"
"204" 3.24688072042707 0.000142971978683583 "7^th"
"205" 3.27073567186801 0.000182703251140976 "7^th"
"206" 3.29459062330894 0.000232407190984652 "7^th"
"207" 3.31844557474988 0.000293431771940349 "7^th"
"208" 3.34230052619081 0.000367970647246377 "7^th"
"209" 3.36615547763174 0.000458598991102209 "7^th"
"210" 3.39001042907268 0.000568328092611124 "7^th"
"211" 3.41386538051361 0.00070066076537782 "7^th"
"212" 3.43772033195454 0.000859645523779388 "7^th"
"213" 3.46157528339548 0.00104992725017114 "7^th"
"214" 3.48543023483641 0.00128264100140868 "7^th"
"215" 3.50928518627735 0.00156110012017986 "7^th"
"216" 3.53314013771828 0.00189165125865203 "7^th"
"217" 3.55699508915921 0.00228201994515304 "7^th"
"218" 3.58085004060015 0.00274052610917588 "7^th"
"219" 3.60470499204108 0.00327601185246106 "7^th"
"220" 3.62855994348202 0.00389775280266509 "7^th"
"221" 3.65241489492295 0.00461535623518227 "7^th"
"222" 3.67626984636388 0.00544210632373413 "7^th"
"223" 3.70012479780482 0.00640073443934944 "7^th"
"224" 3.72397974924575 0.00748830953664467 "7^th"
"225" 3.74783470068669 0.0087145071189004 "7^th"
"226" 3.77168965212762 0.0100888016320925 "7^th"
"227" 3.79554460356855 0.011620461721544 "7^th"
"228" 3.81939955500949 0.0133185729366972 "7^th"
"229" 3.84325450645042 0.0151920846259665 "7^th"
"230" 3.86710945789135 0.017249876565379 "7^th"
"231" 3.89096440933229 0.0195168455413525 "7^th"
"232" 3.91481936077322 0.0220031169349527 "7^th"
"233" 3.93867431221416 0.0247040825806093 "7^th"
"234" 3.96252926365509 0.0276292139854414 "7^th"
"235" 3.98638421509602 0.030788095595998 "7^th"
"236" 4.01023916653696 0.0341902950420222 "7^th"
"237" 4.03409411797789 0.037845174945431 "7^th"
"238" 4.05794906941883 0.0417616474076049 "7^th"
"239" 4.08180402085976 0.0459478738809072 "7^th"
"240" 4.10565897230069 0.0504468755992906 "7^th"
"241" 4.12951392374163 0.0552353436755665 "7^th"
"242" 4.15336887518256 0.060308847862008 "7^th"
"243" 4.1772238266235 0.0656665003013491 "7^th"
"244" 4.20107877806443 0.0713042631988302 "7^th"
"245" 4.22493372950536 0.0772146241894509 "7^th"
"246" 4.2487886809463 0.0833863302841222 "7^th"
"247" 4.27264363238723 0.0898041913040652 "7^th"
"248" 4.29649858382817 0.0964541151853015 "7^th"
"249" 4.3203535352691 0.10332610140444 "7^th"
"250" 4.34420848671003 0.110362575548387 "7^th"
"251" 4.36806343815097 0.117530626674086 "7^th"
"252" 4.3919183895919 0.124794530299086 "7^th"
"253" 4.41577334103284 0.132116363654921 "7^th"
"254" 4.43962829247377 0.139456706463056 "7^th"
"255" 4.4634832439147 0.146775409173487 "7^th"
"256" 4.48733819535564 0.154032408379619 "7^th"
"257" 4.51119314679657 0.161177560678491 "7^th"
"258" 4.5350480982375 0.16816480456582 "7^th"
"259" 4.55890304967844 0.174969396067409 "7^th"
"260" 4.58275800111937 0.181562536298683 "7^th"
"261" 4.60661295256031 0.187919537638036 "7^th"
"262" 4.63046790400124 0.194020064171153 "7^th"
"263" 4.65432285544217 0.199848251532293 "7^th"
"264" 4.67817780688311 0.205392718761301 "7^th"
"265" 4.70203275832404 0.210646487761642 "7^th"
"266" 4.72588770976498 0.215570964504293 "7^th"
"267" 4.74974266120591 0.220198094943306 "7^th"
"268" 4.77359761264684 0.224542846940419 "7^th"
"269" 4.79745256408778 0.228615913183484 "7^th"
"270" 4.82130751552871 0.232431111409264 "7^th"
"271" 4.84516246696965 0.236005107698352 "7^th"
"272" 4.86901741841058 0.239357080693105 "7^th"
"273" 4.89287236985151 0.242508305757623 "7^th"
"274" 4.91672732129245 0.245478234940796 "7^th"
"275" 4.94058227273338 0.248279780077555 "7^th"
"276" 4.96443722417431 0.250958532728894 "7^th"
"277" 4.98829217561525 0.253535610855765 "7^th"
"278" 5.01214712705618 0.256029102423421 "7^th"
"279" 5.03600207849712 0.258453047684133 "7^th"
"280" 5.05985702993805 0.260816545337087 "7^th"
"281" 5.08371198137898 0.263123040470143 "7^th"
"282" 5.10756693281992 0.265369848866853 "7^th"
"283" 5.13142188426085 0.267541545549171 "7^th"
"284" 5.15527683570179 0.269616517120731 "7^th"
"285" 5.17913178714272 0.271577213862383 "7^th"
"286" 5.20298673858365 0.273397554239957 "7^th"
"287" 5.22684169002459 0.275049983203278 "7^th"
"288" 5.25069664146552 0.276507130659138 "7^th"
"289" 5.27455159290646 0.277743468731132 "7^th"
"290" 5.29840654434739 0.278736888846427 "7^th"
"291" 5.32226149578832 0.279470121932883 "7^th"
"292" 5.34611644722926 0.2798989823516 "7^th"
"293" 5.36997139867019 0.280046345463703 "7^th"
"294" 5.39382635011112 0.279927702920348 "7^th"
"295" 5.41768130155206 0.279557408304082 "7^th"
"296" 5.44153625299299 0.278955969874193 "7^th"
"297" 5.46539120443393 0.278149170695541 "7^th"
"298" 5.48924615587486 0.277167048665446 "7^th"
"299" 5.51310110731579 0.276042789109262 "7^th"
"300" 5.53695605875673 0.274810337262496 "7^th"
"301" 5.56081101019766 0.27350565781456 "7^th"
"302" 5.5846659616386 0.272177517266023 "7^th"
"303" 5.60852091307953 0.270858851927074 "7^th"
"304" 5.63237586452046 0.26957989070727 "7^th"
"305" 5.6562308159614 0.268367514898002 "7^th"
"306" 5.68008576740233 0.267244677575106 "7^th"
"307" 5.70394071884327 0.266229875954915 "7^th"
"308" 5.7277956702842 0.265336673125989 "7^th"
"309" 5.75165062172513 0.26458218697767 "7^th"
"310" 5.77550557316607 0.263968868661055 "7^th"
"311" 5.799360524607 0.263478693203702 "7^th"
"312" 5.82321547604793 0.263098227976641 "7^th"
"313" 5.84707042748887 0.262808371742184 "7^th"
"314" 5.8709253789298 0.262584899046469 "7^th"
"315" 5.89478033037074 0.262399227157161 "7^th"
"316" 5.91863528181167 0.262219398251491 "7^th"
"317" 5.9424902332526 0.262011262568464 "7^th"
"318" 5.96634518469354 0.261727335495613 "7^th"
"319" 5.99020013613447 0.261333202875845 "7^th"
"320" 6.01405508757541 0.26080216817885 "7^th"
"321" 6.03791003901634 0.260110376655785 "7^th"
"322" 6.06176499045727 0.259240064645395 "7^th"
"323" 6.08561994189821 0.258180306071671 "7^th"
"324" 6.10947489333914 0.25692744580715 "7^th"
"325" 6.13332984478008 0.255485203312277 "7^th"
"326" 6.15718479622101 0.25386191012522 "7^th"
"327" 6.18103974766194 0.252061461762619 "7^th"
"328" 6.20489469910288 0.250133295071041 "7^th"
"329" 6.22874965054381 0.248106163248727 "7^th"
"330" 6.25260460198474 0.246010615264023 "7^th"
"331" 6.27645955342568 0.243877729325184 "7^th"
"332" 6.30031450486661 0.241737958601997 "7^th"
"333" 6.32416945630755 0.239620125204993 "7^th"
"334" 6.34802440774848 0.237550590896586 "7^th"
"335" 6.37187935918941 0.235558795673486 "7^th"
"336" 6.39573431063035 0.233669933714655 "7^th"
"337" 6.41958926207128 0.231891468855218 "7^th"
"338" 6.44344421351222 0.230233390151249 "7^th"
"339" 6.46729916495315 0.228702152937984 "7^th"
"340" 6.49115411639409 0.227300817284303 "7^th"
"341" 6.51500906783502 0.226029180063999 "7^th"
"342" 6.53886401927595 0.224883893578597 "7^th"
"343" 6.56271897071689 0.223858569116895 "7^th"
"344" 6.58657392215782 0.222954514324644 "7^th"
"345" 6.61042887359875 0.222147286291039 "7^th"
"346" 6.63428382503969 0.221416799360133 "7^th"
"347" 6.65813877648062 0.220744958753093 "7^th"
"348" 6.68199372792156 0.220112293650282 "7^th"
"349" 6.70584867936249 0.219498613385933 "7^th"
"350" 6.72970363080342 0.218883748212947 "7^th"
"351" 6.75355858224436 0.218248345677567 "7^th"
"352" 6.77741353368529 0.217573971793183 "7^th"
"353" 6.80126848512623 0.216836440933302 "7^th"
"354" 6.82512343656716 0.216031200381658 "7^th"
"355" 6.84897838800809 0.215152252559594 "7^th"
"356" 6.87283333944903 0.214197376513066 "7^th"
"357" 6.89668829088996 0.213167858245883 "7^th"
"358" 6.9205432423309 0.212068028610696 "7^th"
"359" 6.94439819377183 0.210904643912711 "7^th"
"360" 6.96825314521276 0.209686149405323 "7^th"
"361" 6.9921080966537 0.208419747032977 "7^th"
"362" 7.01596304809463 0.207115880852439 "7^th"
"363" 7.03981799953556 0.205786293386969 "7^th"
"364" 7.0636729509765 0.204437163193219 "7^th"
"365" 7.08752790241743 0.203072952535699 "7^th"
"366" 7.11138285385837 0.201696461157523 "7^th"
"367" 7.1352378052993 0.200309036902049 "7^th"
"368" 7.15909275674023 0.198910914553919 "7^th"
"369" 7.18294770818117 0.197501649747333 "7^th"
"370" 7.2068026596221 0.196079307539934 "7^th"
"371" 7.23065761106304 0.194644735912649 "7^th"
"372" 7.25451256250397 0.193199531074231 "7^th"
"373" 7.2783675139449 0.191745931673512 "7^th"
"374" 7.30222246538584 0.190287234575732 "7^th"
"375" 7.32607741682677 0.188827612844262 "7^th"
"376" 7.34993236826771 0.18737181694075 "7^th"
"377" 7.37378731970864 0.185924781557635 "7^th"
"378" 7.39764227114957 0.184491334020864 "7^th"
"379" 7.42149722259051 0.18307800452362 "7^th"
"380" 7.44535217403144 0.181684428827748 "7^th"
"381" 7.46920712547237 0.180310221672391 "7^th"
"382" 7.49306207691331 0.178952988944708 "7^th"
"383" 7.51691702835424 0.177608370598271 "7^th"
"384" 7.54077197979518 0.176270219556492 "7^th"
"385" 7.56462693123611 0.174930905541926 "7^th"
"386" 7.58848188267704 0.173581729292585 "7^th"
"387" 7.61233683411798 0.172211658740967 "7^th"
"388" 7.63619178555891 0.170808535110625 "7^th"
"389" 7.66004673699985 0.169366494287749 "7^th"
"390" 7.68390168844078 0.167879582053781 "7^th"
"391" 7.70775663988171 0.16634395579829 "7^th"
"392" 7.73161159132265 0.164758169127686 "7^th"
"393" 7.75546654276358 0.163123333873634 "7^th"
"394" 7.77932149420452 0.161443152592904 "7^th"
